Brassicaceae,62756-552,rhoncus mauris enim leo rhoncus sed,29.0,3569535782296083
Ulvaceae,60505-2616,sed vestibulum sit amet cursus id,6.37,3588095907580223
Lycopodiaceae,55714-2233,in blandit ultrices enim lorem ipsum dolor sit,10.56,3545164633687207
Euphorbiaceae,66715-9830,nunc donec quis orci eget orci vehicula condimentum curabitur,23.91,3535788922439847
Collemataceae,55315-519,maecenas ut massa quis augue luctus,15.25,3530891872755314
Ranunculaceae,63739-167,velit vivamus vel nulla eget eros elementum pellentesque quisque,2.47,3547638520144248
Cyperaceae,42254-268,ultrices erat tortor sollicitudin mi sit,27.57,4555261429319220
Asteraceae,36800-444,pretium nisl ut volutpat sapien,4.43,5464862239646319
Nyctaginaceae,48951-7051,morbi odio odio elementum eu interdum eu,14.86,5100140714876523
Urticaceae,0268-0001,vel nisl duis ac nibh fusce lacus purus aliquet,29.95,5007669240177299
Poaceae,27854-103,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,17.29,30040266921972
Fabaceae,54868-0127,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,7.3,3573964814080253
Scrophulariaceae,51079-597,semper rutrum nulla nunc purus phasellus in felis,26.39,3558867786246894
Cyperaceae,11523-1305,varius integer ac leo pellentesque ultrices mattis odio donec,13.13,3570667086968302
Asteraceae,62257-014,quam nec dui luctus rutrum nulla tellus in sagittis dui,15.38,5641824269956273008
Rosaceae,66715-9720,in blandit ultrices enim lorem ipsum dolor,19.82,3575464327596612
Fabaceae,51270-116,cursus id turpis integer aliquet massa,11.12,3549203711139388
Liliaceae,36987-2949,quam nec dui luctus rutrum nulla tellus in sagittis dui,27.9,5602239600050749
Scrophulariaceae,52125-330,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,16.91,3531256502563117
Porpidiaceae,43742-0068,etiam vel augue vestibulum rutrum rutrum neque aenean auctor,14.8,374288713978905
Sapindaceae,55910-705,non lectus aliquam sit amet diam,19.83,6763757711158493746
Fabaceae,76237-279,id lobortis convallis tortor risus dapibus augue vel,29.61,30242159858572
Piperaceae,55154-0907,nisi venenatis tristique fusce congue diam id ornare imperdiet,10.29,5007666170857700
Valerianaceae,51079-608,fusce congue diam id ornare imperdiet sapien urna pretium nisl,17.37,5610707415265775285
Orchidaceae,0603-1378,in lectus pellentesque at nulla suspendisse potenti cras in purus,26.08,4405685650394571
Gentianaceae,68084-340,ante vel ipsum praesent blandit,19.31,67067466980905519
Poaceae,50419-421,id lobortis convallis tortor risus,5.57,4844957028711987
Passifloraceae,60681-0105,molestie nibh in lectus pellentesque at nulla suspendisse potenti,6.92,6771969384556585
Stictidaceae,21695-216,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,4.64,3540848168084849
Cupressaceae,49288-0490,quis tortor id nulla ultrices aliquet,16.45,491148812093007104
Malvaceae,61958-1501,nulla facilisi cras non velit nec nisi vulputate nonummy,10.06,3543370998357565
Asteraceae,63739-804,felis donec semper sapien a libero,28.73,3585942402445563
Acarosporaceae,64376-803,nullam orci pede venenatis non sodales sed,5.36,5556772565739431
Rutaceae,58118-0922,a nibh in quis justo maecenas rhoncus,27.72,3549227224324864
Rubiaceae,58668-1371,non ligula pellentesque ultrices phasellus,26.37,670987479613459729
Cyperaceae,51824-006,montes nascetur ridiculus mus etiam,7.57,6709212267258798
Scrophulariaceae,10191-1637,dapibus augue vel accumsan tellus nisi eu orci mauris,29.45,3529926347008163
Amaranthaceae,25000-121,praesent id massa id nisl venenatis lacinia aenean sit amet,13.79,3570827485319685
Asteraceae,0185-5050,felis donec semper sapien a libero nam dui,5.63,3546493010837922
Scrophulariaceae,47242-0051,aenean sit amet justo morbi ut odio cras mi pede,27.4,6370412023545557
Passifloraceae,47593-307,sagittis dui vel nisl duis ac nibh fusce lacus purus,6.31,4917542916828762
Asteraceae,68151-4504,justo eu massa donec dapibus duis at velit,8.22,633378851381636792
Fabaceae,76296-006,ante nulla justo aliquam quis turpis eget elit sodales scelerisque,16.1,5108755955823181
Rosaceae,37000-258,sed nisl nunc rhoncus dui vel sem sed,1.88,6398621438275133
Cyperaceae,52544-248,sed vel enim sit amet nunc,24.62,3573228661595353
Asteraceae,36987-3173,massa id nisl venenatis lacinia aenean,4.27,5610478477061682
Polytrichaceae,42291-339,pretium nisl ut volutpat sapien,12.18,30564885628106
Apiaceae,51393-6447,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,11.91,4017958334047
Campanulaceae,49035-897,ac diam cras pellentesque volutpat dui maecenas tristique est,5.35,5100136870376613
Bryaceae,43063-189,aliquam convallis nunc proin at,6.89,348952983189153
Loasaceae,65841-774,erat fermentum justo nec condimentum neque sapien placerat ante nulla,13.81,3537968488581863
Pseudoditrichaceae,0173-0810,vestibulum rutrum rutrum neque aenean auctor,14.72,3567307909658468
Graphidaceae,64125-134,id massa id nisl venenatis lacinia aenean,11.2,3582449628401944
Fabaceae,43857-0319,nulla justo aliquam quis turpis eget elit sodales scelerisque,1.69,3528956791580327
Cyperaceae,42416-0021,duis ac nibh fusce lacus purus,22.72,5602222075779727967
Coccocarpiaceae,24236-628,scelerisque mauris sit amet eros suspendisse accumsan,1.54,30321285086108
Pinaceae,65923-003,convallis duis consequat dui nec nisi volutpat eleifend donec ut,10.3,3567436776549573
Asteraceae,54575-199,non mattis pulvinar nulla pede ullamcorper augue,23.4,5641829323513699489
Brachytheciaceae,68084-728,eleifend quam a odio in hac habitasse,21.71,3556009509120419
Caryophyllaceae,0268-1602,libero rutrum ac lobortis vel dapibus at,11.61,5018901303236033333
Fabaceae,0406-0522,nec dui luctus rutrum nulla tellus in,16.36,3574617255995038
Crassulaceae,11822-5648,sem mauris laoreet ut rhoncus aliquet pulvinar,11.27,5100176308463450
Crassulaceae,23667-003,congue eget semper rutrum nulla,16.02,3569937391376563
Rutaceae,11673-923,nam nulla integer pede justo,26.7,6771558703699323
Lamiaceae,54569-5523,sit amet sapien dignissim vestibulum vestibulum ante,8.8,4911400213021574602
Boraginaceae,24236-248,faucibus accumsan odio curabitur convallis duis consequat dui nec,21.33,3555598187244732
Euphorbiaceae,41250-272,vulputate elementum nullam varius nulla facilisi cras non velit,10.22,5256286085303621
Blechnaceae,43128-118,enim sit amet nunc viverra dapibus nulla suscipit ligula in,5.81,3542388399836517
Rubiaceae,43742-0302,justo aliquam quis turpis eget elit sodales,28.6,201577414933071
Cyperaceae,0781-5175,erat curabitur gravida nisi at nibh in hac habitasse platea,27.37,4041378968044
Ericaceae,52125-834,tincidunt lacus at velit vivamus vel nulla,21.73,3536350372430369
Asteraceae,54868-5119,orci luctus et ultrices posuere cubilia curae mauris viverra,25.64,4508665035067528
Euphorbiaceae,54575-306,integer ac neque duis bibendum morbi non quam nec,6.58,30028371407912
Fabaceae,55316-029,quisque arcu libero rutrum ac lobortis vel dapibus at diam,10.79,6709464583486997
Orchidaceae,24658-292,semper est quam pharetra magna ac consequat metus,7.35,3564970759702653
Myrtaceae,63824-860,in faucibus orci luctus et ultrices posuere cubilia curae,3.06,3533533707904066
Iridaceae,64127-174,rutrum nulla nunc purus phasellus in,16.51,3583141043534297
Fabaceae,13533-701,vestibulum quam sapien varius ut blandit non interdum in ante,13.32,3568459019968946
Aristolochiaceae,10596-336,velit vivamus vel nulla eget eros elementum pellentesque quisque,13.93,3545858910331724
Anacardiaceae,13733-002,sollicitudin mi sit amet lobortis sapien sapien non,8.76,5610172740631369
Primulaceae,67239-0201,in ante vestibulum ante ipsum primis in faucibus,20.08,4175007117415675
Marsileaceae,42291-343,erat volutpat in congue etiam,29.17,36881885424383
Boraginaceae,54365-170,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,7.06,4175001308437309
Solanaceae,44004-321,scelerisque mauris sit amet eros suspendisse accumsan tortor,29.78,3573723037738463
Saxifragaceae,10006-002,justo morbi ut odio cras mi pede malesuada in imperdiet,1.79,5893775359069040
Ranunculaceae,76126-204,molestie hendrerit at vulputate vitae,4.13,30511623393055
Asteraceae,66894-0000,eget massa tempor convallis nulla neque,19.24,6389920604242088
Poaceae,54118-7981,ultrices erat tortor sollicitudin mi sit amet lobortis,17.55,337941390234218
Fabaceae,57955-5515,a suscipit nulla elit ac nulla sed vel enim sit,14.15,5100149732510386
Ebenaceae,59503-6585,pellentesque volutpat dui maecenas tristique est et tempus semper,9.14,3546155993726675
Onagraceae,56104-527,praesent blandit nam nulla integer pede justo lacinia,23.08,560222624392400653
Ericaceae,33261-160,libero ut massa volutpat convallis,2.95,3562992562485765
Polygonaceae,59428-000,at ipsum ac tellus semper interdum mauris ullamcorper purus,2.55,3555366225560646
Orthotrichaceae,75990-3111,tristique in tempus sit amet sem fusce consequat nulla nisl,29.16,3533483331622090
Hypnaceae,0378-0040,varius ut blandit non interdum,27.77,3529716125544863
Cyperaceae,43063-455,ac enim in tempor turpis,29.14,201693636713017
Rutaceae,60681-0901,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,17.06,5602244874391480
Asteraceae,43269-786,nibh quisque id justo sit amet sapien,20.26,6767204360839704129
Asteraceae,11084-704,duis bibendum felis sed interdum,28.83,3583244536664371
Poaceae,49349-681,eget eros elementum pellentesque quisque porta volutpat erat quisque erat,2.93,3568119260396771
Liliaceae,43742-0343,mauris ullamcorper purus sit amet nulla,22.44,4017951995047419
Cyperaceae,66288-2225,in ante vestibulum ante ipsum primis in faucibus orci,29.66,374283325109197
Cactaceae,63629-4549,dolor sit amet consectetuer adipiscing elit proin risus praesent,18.93,6333216794100229
Fabaceae,11822-0542,aliquam sit amet diam in magna bibendum imperdiet nullam orci,15.94,4936310343981567845
Micareaceae,68001-140,pulvinar sed nisl nunc rhoncus dui vel sem sed,6.3,490586663329248850
Rosaceae,36987-2810,augue aliquam erat volutpat in congue etiam justo etiam,26.97,6767242283109784064
Sapotaceae,36800-703,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,21.15,3581605069887021
Apiaceae,21695-685,consequat nulla nisl nunc nisl duis bibendum felis,29.17,6393414131533189
Apiaceae,50436-3523,nisl aenean lectus pellentesque eget nunc donec quis orci eget,1.72,5602256530106953
Gyalectaceae,46122-008,pede malesuada in imperdiet et,17.99,6333041903697265
Brassicaceae,52345-3001,commodo placerat praesent blandit nam nulla integer pede justo,7.4,4913798476690430
Solanaceae,53727-101,dui maecenas tristique est et tempus,20.29,3568836477500958
Commelinaceae,47682-158,lacus morbi sem mauris laoreet ut rhoncus aliquet,26.28,5108754030815395
Fabaceae,41520-699,nunc nisl duis bibendum felis sed,6.84,3576542963442925
Typhaceae,62175-382,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,15.4,6373162979131566
Polygonaceae,67544-078,fringilla rhoncus mauris enim leo rhoncus,16.51,4733895006192420
Rubiaceae,50268-060,lectus pellentesque eget nunc donec quis orci eget,7.45,5562507920557736
Melastomataceae,59667-0064,curae mauris viverra diam vitae quam suspendisse potenti nullam,8.42,676312830877485839
Ericaceae,54569-5167,interdum eu tincidunt in leo,29.4,3535462386246771
Parmeliaceae,50988-181,nec nisi volutpat eleifend donec ut dolor morbi vel lectus,21.6,5108754177853621
Arecaceae,0527-1698,consequat dui nec nisi volutpat eleifend donec ut,22.72,3538419861493200
Rosaceae,41520-432,sollicitudin ut suscipit a feugiat et,17.6,36605705436644
Orobanchaceae,55154-6275,elit proin risus praesent lectus,23.73,4405967680544783
Begoniaceae,54868-2892,turpis donec posuere metus vitae ipsum,12.45,3565862202105668
Polemoniaceae,10237-645,mus vivamus vestibulum sagittis sapien cum sociis,4.35,3588730698034887
Pyrolaceae,76020-300,aenean lectus pellentesque eget nunc donec quis orci,24.14,3581527960941576
Arecaceae,58118-0402,sit amet sem fusce consequat nulla nisl,2.69,3553499468418487
Scrophulariaceae,57237-050,pretium quis lectus suspendisse potenti in eleifend quam a,1.61,5602238090247104
Scrophulariaceae,54868-6039,luctus tincidunt nulla mollis molestie lorem quisque,20.97,3557583348190105
Gentianaceae,36987-3278,pulvinar nulla pede ullamcorper augue a suscipit,7.49,4041375811703742
Euphorbiaceae,68462-198,turpis donec posuere metus vitae ipsum aliquam,3.93,5594919576926184
Pleosporaceae,0519-1357,est lacinia nisi venenatis tristique fusce congue diam id,22.07,0604676886351812353
Loasaceae,54482-144,integer ac neque duis bibendum morbi non,26.35,5038690773623148
Rubiaceae,17089-243,odio consequat varius integer ac,16.72,3546334544237579
Pyrenulaceae,0462-0394,tristique in tempus sit amet sem fusce consequat,9.01,5602221528110835833
Orchidaceae,59547-310,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,22.5,340832803517718
Leskeaceae,52862-012,velit vivamus vel nulla eget eros,11.46,30260365618044
Cyperaceae,0603-0209,sed nisl nunc rhoncus dui vel,25.01,3578899919596438
Myrtaceae,59115-086,amet lobortis sapien sapien non mi integer ac neque duis,7.45,5610589594118641
Chenopodiaceae,10812-842,magna vulputate luctus cum sociis natoque penatibus et,22.08,560225537473121070
Stictidaceae,65862-006,purus eu magna vulputate luctus cum sociis natoque,26.17,5556324587813529
Asteraceae,0904-6256,vestibulum ante ipsum primis in faucibus orci luctus et,23.18,5530253791885133
Cactaceae,55111-231,gravida nisi at nibh in hac habitasse platea,25.45,5602217130542690
Asteraceae,0071-1013,libero nam dui proin leo odio porttitor id consequat,24.18,633301090328193847
Liliaceae,0187-0007,in lacus curabitur at ipsum ac tellus,17.55,6759212277290368
Lamiaceae,68151-4210,vestibulum ac est lacinia nisi venenatis tristique fusce,24.67,3575729324133274
Euphorbiaceae,57955-8699,purus sit amet nulla quisque,29.04,4936954030369140664
Magnoliaceae,56062-798,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,8.33,3572600069529567
Polygonaceae,13630-0050,tincidunt nulla mollis molestie lorem quisque ut erat,26.43,3574480499919805
Rutaceae,0008-0843,molestie lorem quisque ut erat curabitur gravida nisi,3.66,6763734758178493
Oleaceae,43742-0011,nec dui luctus rutrum nulla tellus in sagittis dui,1.34,3538836721965590
Fabaceae,62742-4028,vestibulum quam sapien varius ut blandit non,18.32,3547307255981832
Myrsinaceae,55111-725,nulla tempus vivamus in felis eu sapien cursus vestibulum proin,13.19,6331104746096923780
Poaceae,55154-4737,ipsum primis in faucibus orci luctus et ultrices posuere,22.97,5243891676563040
Ranunculaceae,49348-744,dictumst maecenas ut massa quis augue luctus,5.33,3534274777864406
Orchidaceae,50436-0171,metus arcu adipiscing molestie hendrerit at vulputate vitae,9.31,5562576082225697
Campanulaceae,67296-0671,eget tincidunt eget tempus vel pede morbi porttitor lorem,8.92,4905954604272449
Hydrophyllaceae,43269-772,cras non velit nec nisi vulputate nonummy maecenas tincidunt,19.39,3564622983396493
Campanulaceae,58411-207,sapien a libero nam dui proin leo,19.32,5602231100150699
Fabaceae,50991-323,varius integer ac leo pellentesque ultrices mattis odio donec vitae,2.06,5002352048260691
Liliaceae,30142-888,aliquam quis turpis eget elit sodales scelerisque mauris sit,20.21,6759530535815485692
Salicaceae,49291-0001,nibh ligula nec sem duis aliquam,27.68,4917826262848452
Rosaceae,63629-2682,ornare imperdiet sapien urna pretium nisl ut volutpat sapien,8.65,3539968410910683
Poaceae,0703-9032,elit proin interdum mauris non ligula,12.3,4474697703703
Fabaceae,50685-009,pede libero quis orci nullam molestie nibh,23.86,3586731132837010
Nymphaeaceae,0781-3303,sed nisl nunc rhoncus dui vel sem sed sagittis,23.19,4175001574697677
Asteraceae,67467-182,nisi volutpat eleifend donec ut dolor,28.83,560225098728279205
Asteraceae,17856-0691,a libero nam dui proin leo odio porttitor id consequat,11.99,6759302431591718
Onagraceae,64092-031,congue vivamus metus arcu adipiscing molestie,22.82,3565110765095656
Cornaceae,33342-034,sed magna at nunc commodo,23.3,633110644354335952
Lamiaceae,43063-195,elementum pellentesque quisque porta volutpat erat quisque erat eros,2.07,3578514255508281
Lamiaceae,36800-344,mauris lacinia sapien quis libero nullam sit amet,24.09,30368813541914
Fabaceae,63739-355,quis lectus suspendisse potenti in eleifend quam a odio in,28.13,3534611218242553
Caryophyllaceae,11084-137,lacus curabitur at ipsum ac tellus,29.16,3535356500747963
Parmeliaceae,49715-009,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,19.41,3535091405895290
Amblystegiaceae,54365-400,libero rutrum ac lobortis vel dapibus at diam nam,11.91,501842909408578525
Grossulariaceae,47682-919,lobortis est phasellus sit amet erat nulla tempus vivamus in,4.67,3547554234401479
Apiaceae,52069-102,libero non mattis pulvinar nulla pede ullamcorper,3.75,3542259548873331
Salicaceae,0378-6440,nulla ac enim in tempor turpis nec euismod scelerisque,21.54,201884292856550
Scrophulariaceae,66435-202,lectus in est risus auctor sed,10.57,4026435899195119
Rosaceae,0440-7380,pellentesque quisque porta volutpat erat quisque erat,3.49,5010123815991267
Caryophyllaceae,54973-3122,primis in faucibus orci luctus et ultrices,21.61,337941176976859
Polygonaceae,17089-311,tortor duis mattis egestas metus aenean fermentum donec ut,22.23,3579849630808637
Asteraceae,45963-125,nisl nunc rhoncus dui vel sem sed sagittis,7.37,3564790491296529
Rutaceae,42411-020,volutpat eleifend donec ut dolor morbi,24.15,5602251070753041
Asteraceae,68391-685,libero rutrum ac lobortis vel dapibus at diam,27.44,30551414440335
Fabaceae,62011-0059,lobortis convallis tortor risus dapibus augue,26.19,3536970301638103
Fumariaceae,65841-636,odio consequat varius integer ac leo pellentesque ultrices mattis,2.14,3532962991956089
Myrtaceae,68462-127,ultrices aliquet maecenas leo odio,1.35,3550156588507762
Liliaceae,37000-142,viverra dapibus nulla suscipit ligula in,29.75,4405994281827219
Rosaceae,33992-1307,convallis nunc proin at turpis a,14.93,3535766434224212
Aspleniaceae,0019-1188,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,21.27,3537663150584523
Polygonaceae,0004-0298,ipsum ac tellus semper interdum mauris ullamcorper purus sit,16.24,3565095039392155
Polemoniaceae,56062-337,quam pede lobortis ligula sit amet eleifend,23.28,6762779271371156204
Fabaceae,41250-417,nisi volutpat eleifend donec ut dolor morbi,9.84,3586641696454864
Cucurbitaceae,49738-557,id ligula suspendisse ornare consequat lectus,9.33,3545080904286836
Asteraceae,64950-230,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,8.35,50384672943408713
Orchidaceae,52125-590,faucibus accumsan odio curabitur convallis duis consequat dui,29.77,3585170220785677
Ericaceae,55154-2675,facilisi cras non velit nec,26.18,3568748281586893
Campanulaceae,48878-3316,fermentum donec ut mauris eget massa tempor convallis nulla,6.97,5010122606089877
Alismataceae,53045-252,auctor sed tristique in tempus sit amet sem,26.69,4905611703570822
Dennstaedtiaceae,55154-5413,amet erat nulla tempus vivamus in felis,26.45,06048092703436194
Liliaceae,65862-465,ut at dolor quis odio,24.56,3544661587233541
Bignoniaceae,24987-242,sit amet erat nulla tempus vivamus,18.63,6373787110444070
Asteraceae,59970-044,non mauris morbi non lectus aliquam sit,28.46,201570401916522
Onagraceae,51514-0313,sem fusce consequat nulla nisl nunc,9.86,560223140395908203
Apiaceae,0904-5536,tincidunt in leo maecenas pulvinar lobortis est phasellus,15.2,5010129424821159
Saxifragaceae,49643-340,amet eros suspendisse accumsan tortor,28.26,3532858384705291
Fabaceae,54868-6243,nulla quisque arcu libero rutrum ac lobortis vel dapibus,17.47,67637611050813777
Gyalectaceae,55289-823,in quis justo maecenas rhoncus aliquam lacus morbi,8.13,5439326564620093
Cyperaceae,43742-0170,orci luctus et ultrices posuere cubilia curae duis faucibus,25.12,4175002911940739
Clusiaceae,13537-455,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum,20.47,3571850280664351
Violaceae,54569-3688,rhoncus aliquam lacus morbi quis,2.33,3588499708712888
Scrophulariaceae,0395-1667,nunc purus phasellus in felis,27.55,5018164496125664358
Cyperaceae,0615-2304,posuere cubilia curae mauris viverra,17.36,341030857280437
Liliaceae,55154-2364,ipsum primis in faucibus orci luctus et,13.28,633338622603491905
Cyperaceae,0023-4383,a feugiat et eros vestibulum ac est,28.62,3587946382943495
Rosaceae,0168-0111,sollicitudin ut suscipit a feugiat et eros vestibulum,28.87,3578740139420001
Convolvulaceae,59779-998,odio elementum eu interdum eu,11.37,3537937114885113
Liliaceae,36800-499,ipsum ac tellus semper interdum mauris ullamcorper,13.01,5596728708378620
Grimmiaceae,35000-848,semper porta volutpat quam pede lobortis ligula sit amet eleifend,13.24,3540906671191574
Fabaceae,49738-430,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,13.09,560222717749455931
Apiaceae,52544-554,pellentesque volutpat dui maecenas tristique,20.17,4936594800102538
Asteraceae,0832-1072,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,8.08,5602229959390499
Juglandaceae,63629-1253,duis bibendum morbi non quam nec,9.22,5010127811315637
Liliaceae,49349-520,lacinia aenean sit amet justo,15.61,490598521464447537
Poaceae,59310-210,sit amet sem fusce consequat nulla,28.75,676799151625392603
Brassicaceae,33992-0291,mauris laoreet ut rhoncus aliquet pulvinar sed nisl,13.58,4917468090874408
Euphorbiaceae,63776-075,suspendisse ornare consequat lectus in,2.18,3572619245284772
Poaceae,59630-755,scelerisque mauris sit amet eros suspendisse accumsan tortor quis,2.34,6331109960538821
Scrophulariaceae,55301-299,odio cras mi pede malesuada in imperdiet et,15.14,3532206905350777
Asteraceae,55154-0727,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,5.79,3540163871758386
Asteraceae,69147-196,vestibulum eget vulputate ut ultrices vel augue vestibulum,22.64,3559429765514450
Myrtaceae,49401-103,at lorem integer tincidunt ante vel ipsum praesent,19.98,3563560229445438
Acanthaceae,52083-622,proin interdum mauris non ligula,16.9,6396973733524190
Asteraceae,55910-396,sapien quis libero nullam sit amet turpis,25.53,6333446237998398
Bartramiaceae,36987-1575,tortor risus dapibus augue vel accumsan,8.99,677182422856387353
Calyceraceae,63323-113,enim leo rhoncus sed vestibulum sit,24.59,3556792901152417
Pteridaceae,52584-796,quis justo maecenas rhoncus aliquam lacus morbi,22.55,372301878546102
Asteraceae,51668-507,massa volutpat convallis morbi odio odio elementum eu,14.68,4913613692078411
Capparaceae,53499-5090,consequat lectus in est risus,12.86,3537549341005991
Apocynaceae,61333-202,sociis natoque penatibus et magnis dis parturient,23.57,6333657490961762
Poaceae,36987-1256,ac consequat metus sapien ut nunc vestibulum ante,17.44,5602216596636400
Primulaceae,68703-051,nam nulla integer pede justo lacinia eget tincidunt eget tempus,3.75,3569570177669420
Papaveraceae,48951-2073,eget eros elementum pellentesque quisque porta,22.29,676316857574887385
Grammitidaceae,58411-215,praesent blandit lacinia erat vestibulum sed magna,2.4,3580500118869842
Chenopodiaceae,68382-097,in faucibus orci luctus et ultrices posuere cubilia,23.79,633417268695652527
Rhamnaceae,0944-4210,aliquet maecenas leo odio condimentum,7.04,30044600280988
Anacardiaceae,55390-123,integer ac neque duis bibendum morbi non quam,7.81,3580703078778447
Scrophulariaceae,51769-003,faucibus orci luctus et ultrices posuere cubilia curae donec,21.39,4756040221672680
Cactaceae,47682-167,morbi a ipsum integer a nibh in quis,14.69,5100177040586038
Cyperaceae,54575-941,id massa id nisl venenatis,24.5,3533858564023142
Pinaceae,37808-010,facilisi cras non velit nec nisi,24.66,5602248254026632
Acarosporaceae,51270-117,odio cras mi pede malesuada,26.05,3545379101929044
Asteraceae,58232-0024,ligula suspendisse ornare consequat lectus in est risus auctor,8.27,56022233257362411
Asteraceae,57955-7019,mi in porttitor pede justo,16.81,5602256046030630
Trypetheliaceae,49715-004,sed vel enim sit amet nunc viverra dapibus,11.42,3563420214014790
Brassicaceae,0436-0672,consequat ut nulla sed accumsan felis ut at,8.24,3584139683726503
Myrtaceae,66794-010,ridiculus mus etiam vel augue vestibulum rutrum rutrum,12.12,4903062483140939103
Fontinalaceae,0113-0839,maecenas rhoncus aliquam lacus morbi quis tortor,3.03,3557443777073506
Grammitidaceae,41163-488,vestibulum ante ipsum primis in faucibus orci luctus,13.05,3536401108625234
Pteridaceae,0338-0050,duis at velit eu est congue elementum in hac,18.8,3554696266149276
Asteraceae,24987-087,ante ipsum primis in faucibus orci luctus et,25.75,3574997029700850
Caryophyllaceae,24338-611,nullam varius nulla facilisi cras non,22.58,4182468910726
Dennstaedtiaceae,0615-4514,turpis enim blandit mi in porttitor pede justo eu,20.67,5610891236329424
Asteraceae,0173-0633,lacus purus aliquet at feugiat non,11.12,501874858124436602
Asteraceae,10812-382,placerat ante nulla justo aliquam quis turpis eget elit,6.36,3559408243581935
Fabaceae,0591-0861,varius ut blandit non interdum in ante vestibulum ante,21.18,63041193638808222
Lamiaceae,54868-6140,risus dapibus augue vel accumsan tellus nisi eu orci,15.8,3570666701059356
